event_id,target_date,window_id,rolling_step,radius_km,naive_radius_km,candidate_count,model_candidate_count,naive_candidate_count,model_alert_count,naive_alert_count,model_true_alert_count,naive_true_alert_count,model_precision,naive_precision,alert_reduction_vs_naive,dropped_previous_alerts,dropped_previous_2km_alerts,ap,auc,fixed_3day_naive_alert_count,fixed_3day_naive_true_alert_count,fixed_3day_naive_precision,final_day_model_alert_count,final_day_model_true_alert_count,final_day_model_precision,final_day_alert_reduction_vs_fixed_naive
fire_24025599,2020-05-13,fire_24025599_2020-05-12_2020-05-15,1,3.0,4.0,1043,653,1040,0,1040,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025599,2020-05-15,fire_24025599_2020-05-12_2020-05-15,2,4.0,4.0,328,262,262,1,262,0,0,0.0,0.0,0.9961832061068703,0,0,,,1385.0,0.0,0.0,1.0,0.0,0.0,0.9992779783393502
fire_24025601,2020-05-29,fire_24025601_2020-05-29_2020-06-02,0,2.0,4.0,462,108,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-05-30,fire_24025601_2020-05-29_2020-06-02,1,3.0,4.0,462,228,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-06-02,fire_24025601_2020-05-29_2020-06-02,2,4.0,4.0,502,436,436,0,436,0,11,0.0,0.02522935779816514,1.0,0,0,0.07295464716496546,0.8275935828877006,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025601,2020-05-30,fire_24025601_2020-05-30_2020-06-03,0,2.0,4.0,462,108,396,0,396,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-06-02,fire_24025601_2020-05-30_2020-06-03,1,3.0,4.0,502,260,436,0,436,0,11,0.0,0.02522935779816514,1.0,0,0,0.07295464716496546,0.705732018985031,,,,,,,
fire_24025601,2020-06-03,fire_24025601_2020-05-30_2020-06-03,2,4.0,4.0,530,464,464,0,464,0,9,0.0,0.01939655172413793,1.0,0,0,0.05355984152513821,0.8183150183150183,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025601,2020-06-02,fire_24025601_2020-06-02_2020-06-04,0,2.0,4.0,502,128,436,0,436,0,11,0.0,0.02522935779816514,1.0,0,0,0.07494471149685392,0.40093240093240096,,,,,,,
fire_24025601,2020-06-03,fire_24025601_2020-06-02_2020-06-04,1,3.0,4.0,530,279,464,0,464,0,9,0.0,0.01939655172413793,1.0,0,0,0.0536855328273001,0.6950617283950618,,,,,,,
fire_24025601,2020-06-04,fire_24025601_2020-06-02_2020-06-04,2,4.0,4.0,502,436,436,0,436,0,0,0.0,0.0,1.0,0,0,,,436.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025601,2020-06-03,fire_24025601_2020-06-03_2020-06-06,0,2.0,4.0,530,141,464,0,464,0,9,0.0,0.01939655172413793,1.0,0,0,0.05304328325424202,0.43890977443609025,,,,,,,
fire_24025601,2020-06-04,fire_24025601_2020-06-03_2020-06-06,1,3.0,4.0,502,260,436,0,436,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-06-06,fire_24025601_2020-06-03_2020-06-06,2,4.0,4.0,405,339,339,0,339,0,0,0.0,0.0,1.0,0,0,,,464.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_24025601,2020-06-04,fire_24025601_2020-06-04_2020-06-08,0,2.0,4.0,502,128,436,0,436,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-06-06,fire_24025601_2020-06-04_2020-06-08,1,3.0,4.0,405,219,339,0,339,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-06-08,fire_24025601_2020-06-04_2020-06-08,2,4.0,4.0,363,297,297,1,297,0,0,0.0,0.0,0.9966329966329966,0,0,,,436.0,0.0,0.0,1.0,0.0,0.0,0.9977064220183486
fire_24025601,2020-06-06,fire_24025601_2020-06-06_2020-06-10,0,2.0,4.0,405,118,339,0,339,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_24025601,2020-06-08,fire_24025601_2020-06-06_2020-06-10,1,3.0,4.0,363,189,297,1,297,0,0,0.0,0.0,0.9966329966329966,0,0,,,,,,,,,
