run,filter,eligible_candidates,eligible_positives,eligible_positive_rate,max_recall_against_base,recall_target,status,score_threshold,alerts,alerts_per_base_event_day,alerts_per_eligible_event_day,true_positive_alerts,precision,recall_against_base,base_event_days,eligible_event_days
tanisha_ckpt_rerun,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.2,ok,0.7979776875513173,174966,81.26614026939154,81.26614026939154,46345,0.26488003383514513,0.2,2153,2153
tanisha_ckpt_rerun,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.25,ok,0.7630094324934228,232978,108.21086855550395,108.21086855550395,57932,0.24865867163423155,0.25000323659510193,2153,2153
tanisha_ckpt_rerun,stage1_probability_ge_0_10,1382019,128544,0.09301174585877618,0.554726507713885,0.1,ok,0.832325455183315,71235,33.086391082210866,38.257250268528466,23173,0.32530357268196813,0.10000215773006797,2153,1862
tanisha_ckpt_rerun,stage1_probability_ge_0_10,1382019,128544,0.09301174585877618,0.554726507713885,0.15,ok,0.791892577558582,113794,52.85369252206224,61.11385606874329,34759,0.30545547216900715,0.15000107886503397,2153,1862
tanisha_ckpt_rerun,stage1_probability_ge_0_10,1382019,128544,0.09301174585877618,0.554726507713885,0.2,ok,0.7298605653495103,167687,77.88527635856944,90.05746509129968,46345,0.2763780137995193,0.2,2153,1862
tanisha_ckpt_rerun,stage1_probability_ge_0_10,1382019,128544,0.09301174585877618,0.554726507713885,0.25,ok,0.6695494564091522,226435,105.17185322805388,121.60848549946294,57932,0.2558438403956985,0.25000323659510193,2153,1862
tanisha_ckpt_rerun,stage1_probability_ge_0_20,793938,100625,0.1267416347372213,0.43424317617866004,0.1,ok,0.8246732461221944,69320,32.196934509986065,44.096692111959285,23173,0.33429024812463937,0.10000215773006797,2153,1572
tanisha_ckpt_rerun,stage1_probability_ge_0_20,793938,100625,0.1267416347372213,0.43424317617866004,0.15,ok,0.7686447745227653,112129,52.08035299581979,71.32888040712469,34759,0.30999117088353595,0.15000107886503397,2153,1572
tanisha_ckpt_rerun,stage1_probability_ge_0_20,793938,100625,0.1267416347372213,0.43424317617866004,0.2,ok,0.6941562182452712,166367,77.27217835578263,105.83142493638677,46345,0.2785708704250242,0.2,2153,1572
tanisha_ckpt_rerun,stage1_probability_ge_0_20,793938,100625,0.1267416347372213,0.43424317617866004,0.25,ok,0.5998999437792564,236891,110.02833255921969,150.6940203562341,57932,0.2445512915222613,0.25000323659510193,2153,1572
tanisha_ckpt_rerun,stage1_probability_ge_0_30,569082,84894,0.14917709574367138,0.3663566727802352,0.1,ok,0.8168130530720027,67955,31.562935438922434,49.207096307023896,23173,0.3410050768891178,0.10000215773006797,2153,1381
tanisha_ckpt_rerun,stage1_probability_ge_0_30,569082,84894,0.14917709574367138,0.3663566727802352,0.15,ok,0.7442948615786733,112602,52.30004644681839,81.53656770456192,34759,0.3086890108523827,0.15000107886503397,2153,1381
tanisha_ckpt_rerun,stage1_probability_ge_0_30,569082,84894,0.14917709574367138,0.3663566727802352,0.2,ok,0.6568685067422975,168731,78.37018114259173,122.18030412744388,46345,0.27466796261505,0.2,2153,1381
tanisha_ckpt_rerun,stage1_probability_ge_0_30,569082,84894,0.14917709574367138,0.3663566727802352,0.25,ok,0.5316775166967492,245285,113.92707849512308,177.61404779145548,57932,0.23618240006523025,0.25000323659510193,2153,1381
tanisha_ckpt_rerun,stage1_top_mask,43628,7937,0.1819244521866691,0.03425180709893192,0.1,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
tanisha_ckpt_rerun,stage1_top_mask,43628,7937,0.1819244521866691,0.03425180709893192,0.15,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
tanisha_ckpt_rerun,stage1_top_mask,43628,7937,0.1819244521866691,0.03425180709893192,0.2,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
tanisha_ckpt_rerun,stage1_top_mask,43628,7937,0.1819244521866691,0.03425180709893192,0.25,target_unreachable,,0,0.0,0.0,0,,0.0,0,0
tanisha_ckpt_rerun,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.1,ok,0.7904441367344127,91055,42.29215048769159,42.29215048769159,23173,0.2544945362692878,0.10000215773006797,2153,2153
tanisha_ckpt_rerun,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.15,ok,0.7145735838771125,151521,70.37668369716674,70.37668369716674,34759,0.22940054513895763,0.15000107886503397,2153,2153
tanisha_ckpt_rerun,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.2,ok,0.625614369070452,227707,105.76265675801207,105.76265675801207,46345,0.2035290966022125,0.2,2153,2153
tanisha_ckpt_rerun,wind_alignment_ge_0,2624075,104607,0.03986433314596572,0.45142733843996113,0.25,ok,0.5004609592629196,341012,158.38922433813283,158.38922433813283,57932,0.1698825847770753,0.25000323659510193,2153,2153
tanisha_ckpt_rerun,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.1,ok,0.8002729147528534,84767,39.371574547143524,39.371574547143524,23173,0.2733728927530761,0.10000215773006797,2153,2153
tanisha_ckpt_rerun,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.15,ok,0.7268880963510553,144450,67.09242916860195,67.09242916860195,34759,0.24062997577016268,0.15000107886503397,2153,2153
tanisha_ckpt_rerun,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.2,ok,0.6513624755314877,212176,98.54900139340455,98.54900139340455,46345,0.21842715481487068,0.2,2153,2153
tanisha_ckpt_rerun,forecast_wind_alignment_ge_0,2497542,117428,0.04701742753475217,0.5067558528428093,0.25,ok,0.5449701501022514,309291,143.6558290757083,143.6558290757083,57932,0.18730580585920703,0.25000323659510193,2153,2153
tanisha_ckpt_rerun,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.1,ok,0.8002729147528534,84767,39.371574547143524,39.389869888475836,23173,0.2733728927530761,0.10000215773006797,2153,2152
tanisha_ckpt_rerun,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.15,ok,0.7268880963510553,144450,67.09242916860195,67.1236059479554,34759,0.24062997577016268,0.15000107886503397,2153,2152
tanisha_ckpt_rerun,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.2,ok,0.6513609583582441,212117,98.52159777055272,98.56737918215613,46345,0.21848790997421236,0.2,2153,2152
tanisha_ckpt_rerun,distance_le_3km_and_forecast_wind_ge_0,1769556,108620,0.0613826293149242,0.4687452799654763,0.25,ok,0.5447862065705065,308896,143.4723641430562,143.53903345724908,57932,0.18754532269760696,0.25000323659510193,2153,2152
tanisha_ckpt_rerun,distance_le_3km_and_stage1_probability_ge_0_10,1144024,123004,0.10751872338342552,0.530818858560794,0.1,ok,0.832325455183315,71235,33.086391082210866,38.799019607843135,23173,0.32530357268196813,0.10000215773006797,2153,1836
tanisha_ckpt_rerun,distance_le_3km_and_stage1_probability_ge_0_10,1144024,123004,0.10751872338342552,0.530818858560794,0.15,ok,0.791892577558582,113794,52.85369252206224,61.97930283224401,34759,0.30545547216900715,0.15000107886503397,2153,1836
tanisha_ckpt_rerun,distance_le_3km_and_stage1_probability_ge_0_10,1144024,123004,0.10751872338342552,0.530818858560794,0.2,ok,0.7298605653495103,167687,77.88527635856944,91.33278867102396,46345,0.2763780137995193,0.2,2153,1836
tanisha_ckpt_rerun,distance_le_3km_and_stage1_probability_ge_0_10,1144024,123004,0.10751872338342552,0.530818858560794,0.25,ok,0.6695494564091522,226419,105.16442173711101,123.3218954248366,57932,0.25586191971521827,0.25000323659510193,2153,1836
