event_id,target_date,window_id,rolling_step,radius_km,candidate_count,eligible_candidate_count,selected_alert_count,previous_active_alert_count,new_alert_count,continued_alert_count,removed_alert_count,active_alert_count,removed_burned_count,removed_no_longer_candidate_count,removed_below_threshold_count
fire_24025610,2020-06-09,fire_24025610_2020-06-08_2020-06-10,1,3.0,507,261,3,4,1,2,2,3,0,0,2
fire_24025610,2020-06-10,fire_24025610_2020-06-08_2020-06-10,2,4.0,462,396,0,3,0,0,3,0,0,0,3
fire_24025610,2020-06-09,fire_24025610_2020-06-09_2020-06-11,0,2.0,507,129,3,0,3,0,0,3,0,0,0
fire_24025610,2020-06-10,fire_24025610_2020-06-09_2020-06-11,1,3.0,462,228,0,3,0,0,3,0,0,0,3
fire_24025610,2020-06-11,fire_24025610_2020-06-09_2020-06-11,2,4.0,477,411,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-23,fire_24027563_2020-05-23_2020-05-26,0,2.0,870,226,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-24,fire_24027563_2020-05-23_2020-05-26,1,3.0,858,456,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-26,fire_24027563_2020-05-23_2020-05-26,2,4.0,462,396,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-24,fire_24027563_2020-05-24_2020-05-27,0,2.0,858,216,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-26,fire_24027563_2020-05-24_2020-05-27,1,3.0,462,228,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-27,fire_24027563_2020-05-24_2020-05-27,2,4.0,462,396,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-26,fire_24027563_2020-05-26_2020-05-28,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-27,fire_24027563_2020-05-26_2020-05-28,1,3.0,462,228,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-28,fire_24027563_2020-05-26_2020-05-28,2,4.0,457,391,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-27,fire_24027563_2020-05-27_2020-05-29,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-28,fire_24027563_2020-05-27_2020-05-29,1,3.0,457,223,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-29,fire_24027563_2020-05-27_2020-05-29,2,4.0,462,396,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-28,fire_24027563_2020-05-28_2020-05-31,0,2.0,457,105,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-29,fire_24027563_2020-05-28_2020-05-31,1,3.0,462,228,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-31,fire_24027563_2020-05-28_2020-05-31,2,4.0,515,449,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-29,fire_24027563_2020-05-29_2020-06-01,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-31,fire_24027563_2020-05-29_2020-06-01,1,3.0,515,268,0,0,0,0,0,0,0,0,0
fire_24027563,2020-06-01,fire_24027563_2020-05-29_2020-06-01,2,4.0,785,785,0,0,0,0,0,0,0,0,0
fire_24027563,2020-05-31,fire_24027563_2020-05-31_2020-06-02,0,2.0,515,134,0,0,0,0,0,0,0,0,0
fire_24027563,2020-06-01,fire_24027563_2020-05-31_2020-06-02,1,3.0,785,526,0,0,0,0,0,0,0,0,0
fire_24027563,2020-06-02,fire_24027563_2020-05-31_2020-06-02,2,4.0,858,792,0,0,0,0,0,0,0,0,0
fire_24027563,2020-06-01,fire_24027563_2020-06-01_2020-06-04,0,2.0,785,304,0,0,0,0,0,0,0,0,0
fire_24027563,2020-06-02,fire_24027563_2020-06-01_2020-06-04,1,3.0,858,456,0,0,0,0,0,0,0,0,0
fire_24027563,2020-06-04,fire_24027563_2020-06-01_2020-06-04,2,4.0,1265,1199,0,0,0,0,0,0,0,0,0
fire_24027570,2020-05-29,fire_24027570_2020-05-29_2020-05-31,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24027570,2020-05-30,fire_24027570_2020-05-29_2020-05-31,1,3.0,462,228,0,0,0,0,0,0,0,0,0
fire_24027570,2020-05-31,fire_24027570_2020-05-29_2020-05-31,2,4.0,462,396,0,0,0,0,0,0,0,0,0
fire_24027570,2020-05-30,fire_24027570_2020-05-30_2020-06-01,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24027570,2020-05-31,fire_24027570_2020-05-30_2020-06-01,1,3.0,462,228,0,0,0,0,0,0,0,0,0
fire_24027570,2020-06-01,fire_24027570_2020-05-30_2020-06-01,2,4.0,505,439,1,0,1,0,0,1,0,0,0
fire_24027570,2020-05-31,fire_24027570_2020-05-31_2020-06-02,0,2.0,462,108,0,0,0,0,0,0,0,0,0
fire_24027570,2020-06-01,fire_24027570_2020-05-31_2020-06-02,1,3.0,505,259,1,0,1,0,0,1,0,0,0
fire_24027570,2020-06-02,fire_24027570_2020-05-31_2020-06-02,2,4.0,1259,1256,0,1,0,0,1,0,0,0,1
fire_24027570,2020-06-01,fire_24027570_2020-06-01_2020-06-03,0,2.0,505,128,1,0,1,0,0,1,0,0,0
fire_24027570,2020-06-02,fire_24027570_2020-06-01_2020-06-03,1,3.0,1259,812,0,1,0,0,1,0,0,0,1
fire_24027570,2020-06-03,fire_24027570_2020-06-01_2020-06-03,2,4.0,999,962,5,0,5,0,0,5,0,0,0
fire_24027570,2020-06-02,fire_24027570_2020-06-02_2020-06-04,0,2.0,1259,454,0,0,0,0,0,0,0,0,0
fire_24027570,2020-06-03,fire_24027570_2020-06-02_2020-06-04,1,3.0,999,584,5,0,5,0,0,5,0,0,0
fire_24027570,2020-06-04,fire_24027570_2020-06-02_2020-06-04,2,4.0,492,426,0,5,0,0,5,0,0,5,0
fire_24027580,2020-05-21,fire_24027580_2020-05-21_2020-05-23,0,2.0,434,108,0,0,0,0,0,0,0,0,0
fire_24027580,2020-05-22,fire_24027580_2020-05-21_2020-05-23,1,3.0,889,605,20,0,20,0,0,20,0,0,0
fire_24027580,2020-05-23,fire_24027580_2020-05-21_2020-05-23,2,4.0,1495,1495,47,20,42,5,15,47,0,5,10
fire_24027580,2020-05-22,fire_24027580_2020-05-22_2020-05-24,0,2.0,889,362,20,0,20,0,0,20,0,0,0
fire_24027580,2020-05-23,fire_24027580_2020-05-22_2020-05-24,1,3.0,1495,991,47,20,42,5,15,47,0,5,10
fire_24027580,2020-05-24,fire_24027580_2020-05-22_2020-05-24,2,4.0,1122,1118,22,47,18,4,43,22,0,19,24
fire_24027580,2020-05-23,fire_24027580_2020-05-23_2020-05-25,0,2.0,1495,576,47,0,47,0,0,47,0,0,0
fire_24027580,2020-05-24,fire_24027580_2020-05-23_2020-05-25,1,3.0,1122,788,22,47,18,4,43,22,0,19,24
fire_24027580,2020-05-25,fire_24027580_2020-05-23_2020-05-25,2,4.0,1464,1454,0,22,0,0,22,0,0,4,18
fire_24027580,2020-05-24,fire_24027580_2020-05-24_2020-06-01,0,2.0,1122,497,22,0,22,0,0,22,0,0,0
fire_24027580,2020-05-25,fire_24027580_2020-05-24_2020-06-01,1,3.0,1464,1064,0,22,0,0,22,0,0,6,16
fire_24027580,2020-06-01,fire_24027580_2020-05-24_2020-06-01,2,4.0,370,304,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-10,fire_24103557_2020-06-10_2020-06-12,0,2.0,552,178,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-11,fire_24103557_2020-06-10_2020-06-12,1,3.0,583,370,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-12,fire_24103557_2020-06-10_2020-06-12,2,4.0,620,620,22,0,22,0,0,22,0,0,0
fire_24103557,2020-06-11,fire_24103557_2020-06-11_2020-06-13,0,2.0,583,200,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-12,fire_24103557_2020-06-11_2020-06-13,1,3.0,620,396,22,0,22,0,0,22,0,0,0
fire_24103557,2020-06-13,fire_24103557_2020-06-11_2020-06-13,2,4.0,853,853,26,22,26,0,22,26,0,13,9
fire_24103557,2020-06-12,fire_24103557_2020-06-12_2020-06-14,0,2.0,620,218,22,0,22,0,0,22,0,0,0
fire_24103557,2020-06-13,fire_24103557_2020-06-12_2020-06-14,1,3.0,853,571,26,22,26,0,22,26,0,13,9
fire_24103557,2020-06-14,fire_24103557_2020-06-12_2020-06-14,2,4.0,1515,1515,8,26,8,0,26,8,0,18,8
fire_24103557,2020-06-13,fire_24103557_2020-06-13_2020-06-15,0,2.0,853,333,26,0,26,0,0,26,0,0,0
fire_24103557,2020-06-14,fire_24103557_2020-06-13_2020-06-15,1,3.0,1515,1079,8,26,8,0,26,8,0,18,8
fire_24103557,2020-06-15,fire_24103557_2020-06-13_2020-06-15,2,4.0,2186,2186,20,8,20,0,8,20,0,1,7
fire_24103557,2020-06-14,fire_24103557_2020-06-14_2020-06-16,0,2.0,1515,677,8,0,8,0,0,8,0,0,0
fire_24103557,2020-06-15,fire_24103557_2020-06-14_2020-06-16,1,3.0,2186,1678,20,8,20,0,8,20,0,1,7
fire_24103557,2020-06-16,fire_24103557_2020-06-14_2020-06-16,2,4.0,2451,2451,14,20,14,0,20,14,0,9,11
fire_24103557,2020-06-15,fire_24103557_2020-06-15_2020-06-17,0,2.0,2186,1204,20,0,20,0,0,20,0,0,0
fire_24103557,2020-06-16,fire_24103557_2020-06-15_2020-06-17,1,3.0,2451,1935,14,20,14,0,20,14,0,9,11
fire_24103557,2020-06-17,fire_24103557_2020-06-15_2020-06-17,2,4.0,2880,2880,43,14,43,0,14,43,0,7,7
fire_24103557,2020-06-16,fire_24103557_2020-06-16_2020-06-18,0,2.0,2451,1379,14,0,14,0,0,14,0,0,0
fire_24103557,2020-06-17,fire_24103557_2020-06-16_2020-06-18,1,3.0,2880,2232,43,14,43,0,14,43,0,7,7
fire_24103557,2020-06-18,fire_24103557_2020-06-16_2020-06-18,2,4.0,3445,3445,44,43,44,0,43,44,0,25,18
fire_24103557,2020-06-17,fire_24103557_2020-06-17_2020-06-19,0,2.0,2880,1540,43,0,43,0,0,43,0,0,0
fire_24103557,2020-06-18,fire_24103557_2020-06-17_2020-06-19,1,3.0,3445,2738,44,43,44,0,43,44,0,25,18
fire_24103557,2020-06-19,fire_24103557_2020-06-17_2020-06-19,2,4.0,3509,3509,26,44,21,5,39,26,0,4,35
fire_24103557,2020-06-18,fire_24103557_2020-06-18_2020-06-20,0,2.0,3445,1877,44,0,44,0,0,44,0,0,0
fire_24103557,2020-06-19,fire_24103557_2020-06-18_2020-06-20,1,3.0,3509,2609,26,44,21,5,39,26,0,7,32
fire_24103557,2020-06-20,fire_24103557_2020-06-18_2020-06-20,2,4.0,3341,3341,17,26,17,0,26,17,0,14,12
fire_24103557,2020-06-19,fire_24103557_2020-06-19_2020-06-21,0,2.0,3509,1599,26,0,26,0,0,26,0,0,0
fire_24103557,2020-06-20,fire_24103557_2020-06-19_2020-06-21,1,3.0,3341,2511,17,26,17,0,26,17,0,16,10
fire_24103557,2020-06-21,fire_24103557_2020-06-19_2020-06-21,2,4.0,3396,3396,23,17,20,3,14,23,0,3,11
fire_24103557,2020-06-20,fire_24103557_2020-06-20_2020-06-22,0,2.0,3341,1592,17,0,17,0,0,17,0,0,0
fire_24103557,2020-06-21,fire_24103557_2020-06-20_2020-06-22,1,3.0,3396,2443,23,17,20,3,14,23,0,3,11
fire_24103557,2020-06-22,fire_24103557_2020-06-20_2020-06-22,2,4.0,2233,2233,0,23,0,0,23,0,0,12,11
fire_24103557,2020-06-21,fire_24103557_2020-06-21_2020-06-23,0,2.0,3396,1490,23,0,23,0,0,23,0,0,0
fire_24103557,2020-06-22,fire_24103557_2020-06-21_2020-06-23,1,3.0,2233,1509,0,23,0,0,23,0,0,12,11
fire_24103557,2020-06-23,fire_24103557_2020-06-21_2020-06-23,2,4.0,1195,1129,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-22,fire_24103557_2020-06-22_2020-06-24,0,2.0,2233,888,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-23,fire_24103557_2020-06-22_2020-06-24,1,3.0,1195,796,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-24,fire_24103557_2020-06-22_2020-06-24,2,4.0,1230,1164,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-23,fire_24103557_2020-06-23_2020-06-25,0,2.0,1195,503,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-24,fire_24103557_2020-06-23_2020-06-25,1,3.0,1230,815,0,0,0,0,0,0,0,0,0
fire_24103557,2020-06-25,fire_24103557_2020-06-23_2020-06-25,2,4.0,855,789,25,0,25,0,0,25,0,0,0
fire_24103557,2020-06-24,fire_24103557_2020-06-24_2020-06-26,0,2.0,1230,495,0,0,0,0,0,0,0,0,0
